行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
五河县,工业十一路,五河县城南新区工业十一路,0.5557,公路用地,划拨,,交通运输、仓储和邮政业,0,五河经济开发区产城一体化建设有限公司,1,2018年9月17日,2019年3月17日,2020年3月17日
蚌埠市本级,居住用地,禹会区胜利路北侧、朝阳路西侧,3.264598,其他普通商品住房用地,拍卖出让,70,房地产业,17200,蚌埠新弘房地产有限公司,1.002.20,2018年9月12日,2019年2月24日,2020年8月24日
固镇县,房地产项目(尚达信),东至蚌固路、北至工业路、西至滨河小区,7,其他普通商品住房用地,挂牌出让,其他商服用地40年; 其他普通商品住房用地70年;,房地产业,10501,安徽尚达信置业有限公司,1.002.20,2018年9月12日,2019年5月12日,2021年11月12日
固镇县,房地产（前台二期安置房）,南城区前台村西侧、方前路北侧、濠城路南侧。,1.6234,中低价位、中小套型普通商品住房用地,挂牌出让,中低价位、中小套型普通商品住房用地70年; 其他商服用地40年;,房地产业,1288,固镇县房地产建设开发公司,1.001.80,2018年9月12日,2019年5月12日,2020年5月12日
固镇县,房地产项目,迎宾大道南侧、立新路东,1.12726,批发零售用地,挂牌出让,40,房地产业,1810,固镇县房地产建设开发公司,1.001.70,2018年9月12日,2019年5月12日,2020年5月12日
怀远县,安徽裕丰金属科技有限公司,怀远经济开发区迎宾路东侧,3.924898,工业用地,挂牌出让,50,制造业,518,安徽裕丰金属科技有限公司,1,2018年9月6日,2019年2月6日,2021年2月5日
怀远县,安徽兴永机电设备有限公司,怀远经济开发区BS10路西侧,1.078091,工业用地,挂牌出让,50,制造业,137,安徽兴永机电设备有限公司,1,2018年9月6日,2019年2月6日,2021年2月5日
怀远县,万华禾香板业（怀远）有限责任公司,怀远县龙亢经济开发区,12.55,工业用地,挂牌出让,50,木材加工及木、竹、藤、棕、草制品业,1205,万华禾香板业（怀远）有限责任公司,1,2018年9月6日,2019年2月6日,2021年2月5日
怀远县,安徽通顺机械制造有限责任公司,怀远经济开发区,1.1354,工业用地,挂牌出让,50,制造业,146,安徽通顺机械制造有限责任公司,1,2018年9月6日,2019年2月6日,2021年2月5日
怀远县,怀远县中小企业发展有限公司,怀远经开区世纪大道南侧,4.51973,工业用地,挂牌出让,50,制造业,837,怀远县中小企业发展有限公司,1,2018年9月6日,2019年2月6日,2021年2月5日
