编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,容积,率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
80,工业用地,盐城市,阜宁县,阜宁洁益金属制品有限公司,罗桥镇沿街村,50,挂牌出让,,70,,2020,2020年5月,2020年5月18日,3333.31,1.002.00,1,2,,阜宁洁益金属制品有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
81,工业用地,盐城市,阜宁县,江苏好瑞科技有限公司,罗桥镇沿街村,50,挂牌出让,,70,,2020,2020年5月,2020年5月18日,3316.52,1.002.00,1,2,,江苏好瑞科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
82,工业用地,盐城市,阜宁县,阜宁十戒环保科技有限公司,古河镇古河居委会,50,挂牌出让,,64,,2020,2020年5月,2020年5月18日,3066.01,1.302.00,1.3,2,,阜宁十戒环保科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
83,工业用地,盐城市,阜宁县,盐城福安设备安装有限公司,陈良镇成俊村,50,挂牌出让,,21,,2020,2020年5月,2020年5月18日,995.07,1.002.00,1,2,,盐城福安设备安装有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
84,工业用地,盐城市,阜宁县,盐城淇岸环境科技有限公司,阜宁高新技术产业开发区马河村,50,挂牌出让,,9,,2020,2020年5月,2020年5月18日,428.99,0.601.00,0.6,1,,盐城淇岸环境科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
85,城镇住宅用地,盐城市,盐都区,盐城兴城置业有限公司,盐都区开创路东、蓝海路南,70,挂牌出让,,8750.21,,2020,2020年5月,2020年5月18日,57889,1.002.50,1,2.5,,盐城兴城置业有限公司,,,,,,,,,,,,,,2021年8月17日,2024年8月16日
86,工业用地,盐城市,射阳县,盐城金澜纺织有限公司,射阳县千秋镇合八路东侧,50,挂牌出让,,806.4412,,2020,2020年5月,2020年5月18日,55235.7,1.002.50,1,2.5,,盐城金澜纺织有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
87,工业用地,盐城市,射阳县,盐城广合探伤设备有限公司,射阳县合德镇春晖路北侧、盛莱普东侧,50,挂牌出让,,408.799,,2020,2020年5月,2020年5月18日,24047,1.002.50,1,2.5,,盐城广合探伤设备有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
88,工业用地,盐城市,射阳县,盐城润鸿经编有限公司,射阳县合德镇工业园区兴业路北侧、科治科技有限公司西侧,50,挂牌出让,,335.232,,2020,2020年5月,2020年5月18日,17460,1.002.50,1,2.5,,盐城润鸿经编有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
89,工业用地,盐城市,射阳县,天能炭素（江苏）有限公司,射阳港经济开发区普鲁泰克西侧,50,挂牌出让,,394.6716,,2020,2020年5月,2020年5月18日,26667,1.002.50,1,2.5,,天能炭素（江苏）有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
90,工业用地,盐城市,东台市,光伏部件及金属制品生产线技改项目,时堰镇先锋河西、鑫阳一期南侧,50,挂牌出让,,89.376,,2020,2020年5月,2020年5月15日,5320,1,1,1,,东台市鑫阳热镀锌有限公司,,,,,,,,,,,,,,2021年1月15日,2022年1月15日
91,工业用地,盐城市,东台市,紧固仓盟（江苏）科技有限公司,东台市溱东新材料装备产业园（开庄分区）,50,挂牌出让,,1522.0761,,2020,2020年5月,2020年5月14日,20001,1,1,1,,紧固仓盟(江苏)科技有限公司,,,,,,,,,,,,,,2021年1月12日,2023年1月12日
92,工业用地,盐城市,东台市,东台市甫光玩具有限公司,富安镇富东工业集中区,50,挂牌出让,,113.3046,,2020,2020年5月,2020年5月14日,6626,1.2,1.2,1.2,,东台市甫光玩具有限公司,,,,,,,,,,,,,,2021年1月14日,2022年1月14日
