编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
298,工业用地,连云港市,赣榆区,连云港利城园区开发有限公司,城头镇河东村,50,挂牌,492,,2019,2019年11月,2019年11月1日,1.9275,19275,0.7,13492.5,连云港利城园区开发有限公司,,,,,,,,,,,,,,2020年1月31日,2022年1月31日
299,工业用地,连云港市,赣榆区,江苏润石轻纺集团有限公司,石桥镇石东村,50,挂牌,1600,,2019,2019年11月,2019年11月1日,6.4196,64196,0.7,44937.2,江苏润石轻纺集团有限公司,,,,,,,,,,,,,,2020年1月31日,2022年1月31日
300,工业用地,连云港市,赣榆区,连云港老丹刃食品有限公司,赣马镇城里村,50,挂牌,523,,2019,2019年11月,2019年11月1日,1.7605,17605,0.7,12323.5,连云港老丹刃食品有限公司,,,,,,,,,,,,,,2020年1月31日,2022年1月31日
301,工业用地,连云港市,东海县,东海县循环经济产业园二期项目,东海县桃林镇镇东路东侧、镇北路北侧,50,挂牌,1885,,2019,2019年10月,2019年10月31日,8.7685,87685,1.2,105222,江苏绿色东海投资发展有限公司,,,,,,,,,,,,,,2019年11月25日,2020年11月24日
303,工业用地,连云港市,东海县,日加工40万枚鸭蛋项目,东海县光明路北侧、康平路西侧,50,挂牌,440,,2019,2019年10月,2019年10月29日,1.7029,17029,0.8,13623.2,连云港市桂柳食品有限公司,,,,,,,,,,,,,,2020年2月3日,2022年2月3日
304,工业用地,连云港市,赣榆区,江苏康尔泰药业有限公司,厉庄镇翔凤岭村,50,挂牌,230,,2019,2019年10月,2019年10月28日,1.0216,10216,0.7,7151.2,江苏康尔泰药业有限公司,,,,,,,,,,,,,,2020年1月31日,2022年1月31日
305,仓储用地,连云港市,东海县,东海水晶小镇物流保税仓项目,东海县水晶小镇晶城路西侧,50,挂牌,999,,2019,2019年10月,2019年10月28日,2.3788,23788,2,47576,江苏东海水晶产业投资发展有限公司,,,,,,,,,,,,,,2019年11月15日,2020年11月15日
306,工业用地,连云港市,连云区,瑞兆科电子化学品二期项目,徐圩新区石化七道北,50,挂牌,3346,,2019,2019年10月,2019年10月28日,15.4872,154872,0.6,92923.2,江苏瑞兆科电子材料有限公司,,,,,,,,,,,,,,2020年5月27日,2022年5月26日
307,工业用地,连云港市,东海县,年产5万立方米多功能板材及热压线条,东海县青湖镇经六路东侧、森福木业南侧,50,挂牌,390,,2019,2019年10月,2019年10月27日,1.7255,17255,0.8,13804,连云港龙柏装饰材料有限公司,,,,,,,,,,,,,,2020年1月2日,2022年1月2日
315,工业用地,连云港市,东海县,东海高新区食品科技产业园标准厂房项目,东海县高新区光明路南侧、康平路西侧,50,挂牌,1336.1,,2019,2019年10月,2019年10月24日,5.1787,51787,1.2,62144.4,连云港腾东实业有限公司,,,,,,,,,,,,,,2020年2月28日,2022年2月28日
