用途,成交日期,成交价格,受让单位
R2二类居住用地,2017-11-07,370000,北京首都开发股份有限公司和保利（北京）房地产开发有限公司联合体
R2二类居住用地,2017-11-07,190000,北京未来科学城昌泰置业有限公司
R2二类居住用地,2017-11-03,535500,中铁置业集团北京有限公司和北京建工地产有限责任公司联合体
R2二类居住用地、F3其他类多功能用地、A33基础教育用地,2017-10-30,360000,北京金地远景企业管理咨询有限公司
F2公建混合住宅用地,2017-10-30,135000,北京中海地产有限公司
B1商业用地、R2二类居住用地,2017-10-30,495000,中粮地产（北京）有限公司、北京天恒正同资产管理有限公司、北京旭辉企业管理有限公司和北京盛平置业有限公司联合体
R2二类居住用地,2017-10-25,238000,北京首都开发股份有限公司、保利（北京）房地产开发有限公司和北京金地明城投资咨询有限公司联合体
R2二类居住用地,2017-10-25,246000,北京金隅大成开发有限公司
R2二类居住用地,2017-10-25,222000,北京博大新元房地产开发有限公司
R2二类居住用地、B1商业用地,2017-10-11,125000,北京德俊置业有限公司、北京房地置业发展有限公司、北京新奥集团有限公司和北京首都开发股份有限公司联合体
R2二类居住用地,2017-10-11,629000,保利（北京）房地产开发有限公司、北京首都开发股份有限公司和北京创嘉兴业科技有限公司联合体
F1住宅混合公建用地,2017-10-11,165000,北京天恒正同资产管理有限公司
,2017-10-10,14688.0818,北京航天控制仪器研究所
工业用地,2017-10-09,187820,北京奔驰汽车有限公司
R2二类居住用地,2017-09-21,626000,致昌（北京）企业管理有限公司
R2二类居住用地,2017-09-21,240000,北京首都开发股份有限公司和北京新奥集团有限公司联合体
F3其他类多功能用地、B4综合性商业金融服务业用地、F2公建混合住宅用地、R2二类居住用地、U1供应设施用地、A33基础教育用地,2017-09-13,390000,北京世园投资发展有限责任公司
R2二类居住用地,2017-09-13,206500,北京建工地产有限责任公司和北京天恒正同资产管理有限公司联合体
B2商务用地,2017-09-07,13700,北京象地房地产开发有限公司
R2二类居住用地、A8社区综合服务设施用地、A334托幼用地,2017-09-07,596000,张家口鸿运房地产开发有限公司
工业用地,2017-08-17,5244.3675,北京京东方光电科技有限公司
F2公建混合住宅用地,2017-08-11,62000,北京碧桂园阳光置业发展有限公司
F2公建混合住宅用地,2017-08-11,262600,北京科技园置地有限公司和北京北控城市开发有限公司联合体
B4综合性商业金融服务业用地、S41公用停车场用地,2017-08-08,385000,北京联茂方泰房地产开发有限公司
R2二类居住用地、F1住宅混合公建用地、A33基础教育用地,2017-08-08,716500,北京中瑞凯华投资管理有限公司和北京德俊置业有限公司联合体
R2二类居住用地,2017-08-08,580800,中铁房地产集团北方有限公司、北京碧桂园阳光置业发展有限公司和北京国瑞兴业房地产控股有限公司联合体
R2二类居住用地,2017-08-08,180550,北京万翰企业管理有限公司和深圳安创投资管理有限公司联合体
R2二类居住用地,2017-08-04,155600,北京金科展昊置业有限公司
F1住宅混合公建用地,2017-08-04,270000,远洋地产有限公司
R2二类居住用地、A33基础教育用地用地,2017-08-01,116700,北京金科展昊置业有限公司
R2二类居住用地,2017-08-01,82300,北京金科展昊置业有限公司
R2二类居住用地、B4综合性商业金融服务业用地,2017-08-01,384000,北京润置商业运营管理有限公司、招商局地产（北京）有限公司和北京碧桂园广盈置业发展有限公司联合体
F1住宅混合公建用地,2017-07-27,229000,北京融平企业管理服务有限公司
R2二类居住用地、A33基础教育用地,2017-07-27,479000,北京中瑞凯华投资管理有限公司、北京德俊置业有限公司和上海骞乐企业管理有限公司联合体
B4综合性商业金融服务业用地、A61机构养老设施用地、R2二类居住用地、A33基础教育用地,2017-07-27,395000,北京润置商业运营管理有限公司
F1住宅混合公建用地,2017-07-25,146500,保利（北京）房地产开发有限公司
R2二类居住用地,2017-07-25,37800,保利（北京）房地产开发有限公司
R2二类居住用地,2017-07-25,222000,北京未来科技城昌远置业有限公司
F1住宅混合公建用地、B4综合性商业金融服务业用地、A33基础教育用地,2017-07-18,787000,北京和茂置业有限公司、上海旭尧企业管理有限公司和北京国瑞兴业房地产控股有限公司联合体
F2公建混合住宅用地,2017-07-18,168000,北京中海地产有限公司、保利（北京）房地产开发有限公司联合体
R2二类居住用地,2017-07-18,172000,北京万科企业有限公司和深圳安创投资管理有限公司联合体
R2二类居住用地、B1商业用地,2017-07-13,502000,中铁置业集团北京有限公司
R2二类居住用地、A33基础教育用地,2017-06-22,561000,北京青龙湖腾翔房地产开发有限公司、北京万科企业有限公司、北京龙湖中佰置业有限公司和北京首都开发股份有限公司联合体
R2二类居住用地,2017-06-22,705000,北京万科企业有限公司、北京华美恒升房地产开发有限公司、北京龙湖中佰置业有限公司和北京首都开发股份有限公司联合体
R2二类居住用地、F81绿隔产业用地、A2文化设施用地、A33基础教育用地,2017-06-14,286000,金融街广安（北京）置业有限公司
R2二类居住用地、B4综合性商业金融服务业用地、F3其他类多功能用地,2017-05-25,415000,中粮地产（北京）有限公司、北京中海地产有限公司、保利（北京）房地产开发有限公司和北京天恒正同资产管理有限公司联合体
,2017-05-22,2634.78,呷哺呷哺餐饮管理有限公司
F3其他类多功能用地,2017-05-18,434000,北京润置商业运营管理有限公司、北京首都开发股份有限公司、北京宸茂置业有限公司和北京金唐天润传媒发展有限公司联合体
