编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
70,工业用地,泰州市,高港区,龙凤堂公司新建工业厂房,永安洲镇龙凤堂西路北侧、疏港三路东侧,50,挂牌出让,,2830,,2020,2020年4月,2020年4月17日,65130,2,130260,扬子江药业集团江苏龙凤堂中药有限公司,,,,,,,,,,,,,,2020年5月30日,2021年7月31日
71,工业用地,泰州市,姜堰市,江苏国机机械制造有限公司厂房,姜堰开发区双寿村,50,挂牌出让,,635.9,,2020,2020年4月,2020年4月16日,20187,1,20187,江苏国机机械制造有限公司,,,,,,,,,,,,,,2020年11月16日,2021年11月16日
72,工业用地,泰州市,姜堰市,泰州市科博力新材料科技有限公司厂房,姜堰区蒋垛镇许庄村,50,挂牌出让,,440,,2020,2020年4月,2020年4月16日,13334,1,13334,泰州市科博力新材料科技有限公司,,,,,,,,,,,,,,2020年11月16日,2021年11月16日
73,工业用地,泰州市,海陵区,罡杨镇富强路北侧、西环路东侧地块,罡杨镇富强路北侧、西环路东侧,50,挂牌出让,,337,,2020,2020年4月,2020年4月15日,9546,2,19092,泰州市鼎力锻造科技有限公司,,,,,,,,,,,,,,2020年11月1日,2021年11月1日
74,工业用地,泰州市,泰兴市,江苏环耀工业科技有限公司,姚王镇新镇居委会姚庄3组，鲁堡村鲁堡6组,50,挂牌出让,,533.9048,,2020,2020年4月,2020年4月15日,9334,2,18668,江苏环耀工业科技有限公司,,,,,,,,,,,,,,2021年10月15日,2023年4月15日
75,其他商服用地,泰州市,靖江市,商业（靖江市城投基础设施发展有限公司）,胜利街西侧，团结路南侧,40,挂牌出让,,2758,,2020,2020年4月,2020年4月14日,2362,1.6,3779.2,靖江市城投基础设施发展有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
76,城镇住宅用地,泰州市,靖江市,居住（靖江市城投基础设施发展有限公司）,骥江西路北侧，陆三港东侧,70,挂牌出让,,6400,,2020,2020年4月,2020年4月14日,12094,1.6,19350.4,靖江市城投基础设施发展有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
77,其他商服用地,泰州市,靖江市,商业（华达汽车科技股份有限公司）,江平路北侧,40,挂牌出让,,785,,2020,2020年4月,2020年4月14日,4678,1.4,6549.2,华达汽车科技股份有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
78,城镇住宅用地,泰州市,靖江市,商住（靖江华东城市建设有限公司）,北二环路北侧，渔婆北路西侧，新二路南侧,70,挂牌出让,,10700,,2020,2020年4月,2020年4月14日,54232,1.8,97617.6,靖江华东城市建设有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
79,城镇住宅用地,泰州市,靖江市,居住（靖江华东城市建设有限公司）,北二环路北侧，渔婆北路西侧，新二路南侧,70,挂牌出让,,11870,,2020,2020年4月,2020年4月14日,64882,1.8,116787.6,靖江华东城市建设有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
