编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
119,工业用地,泰州市,兴化市,兴化市戴南新源环保有限公司,兴化市戴南镇中再生大道西侧,50,挂牌出让,,275,,2020,######,######,9897.4,2,19794.8,兴化市戴南新源环保有限公司,,,,,,,,,,,,,,######,######
120,工业用地,泰州市,兴化市,兴化市永进不锈钢制品厂,兴化市戴南镇张万村联创路北侧,50,挂牌出让,,34,,2020,######,######,1223.6,2,2447.2,兴化市永进不锈钢制品厂,,,,,,,,,,,,,,######,######
121,工业用地,泰州市,兴化市,兴化市海宝物资回收有限公司,兴化市海南镇东荡工业集中区,50,挂牌出让,,230,,2020,######,######,8286.5,2,16573,兴化市海宝物资回收有限公司,,,,,,,,,,,,,,######,######
122,工业用地,泰州市,兴化市,兴化市苏中新能源有限公司,兴化市竹泓镇水产村兴泓路西侧,50,挂牌出让,,19,,2020,######,######,675,2,1350,兴化市苏中新能源有限公司,,,,,,,,,,,,,,######,######
123,工业用地,泰州市,兴化市,兴化市通舟船舶设备有限公司,兴化经济开发区科升路北侧、嘉威路西侧。,50,挂牌出让,,740,,2020,######,######,26649.5,2,53299,兴化市通舟船舶设备有限公司,,,,,,,,,,,,,,######,######
124,工业用地,泰州市,兴化市,兴化市礼昌锌业有限公司,兴化市大垛镇双包村,50,挂牌出让,,73,,2020,######,######,2630.4,2,5260.8,兴化市礼昌锌业有限公司,,,,,,,,,,,,,,######,######
125,工业用地,泰州市,兴化市,兴化市亚星量具刃具厂,兴化市大垛镇工业园区兴业路西侧,50,挂牌出让,,25,,2020,######,######,895.5,2,1791,兴化市亚星量具刃具厂,,,,,,,,,,,,,,######,######
126,工业用地,泰州市,兴化市,江苏众嚞新型建材有限公司兴化分公司,兴化市大垛镇工业园区南区,50,挂牌出让,,142,,2020,######,######,5106.8,2,10213.6,江苏众嚞新型建材有限公司兴化分公司,,,,,,,,,,,,,,######,######
127,工业用地,泰州市,兴化市,江苏安钢精密铸造有限公司,兴化市周庄镇创业路西侧,50,挂牌出让,,444.5,,2020,######,######,16013.5,2,32027,江苏安钢精密铸造有限公司,,,,,,,,,,,,,,######,######
130,工业用地,泰州市,兴化市,泰州兴源电力设备安装工程有限公司,兴化市开发区南山路东侧、科升路北侧。,50,挂牌出让,,38.5,,2020,######,######,1374.7,2,2749.4,泰州兴源电力设备安装工程有限公司,,,,,,,,,,,,,,######,######
131,工业用地,泰州市,兴化市,泰州兴源电力设备安装工程有限公司,兴化市开发区南山路东侧、科升路北侧。,50,挂牌出让,,21,,2020,######,######,752,2,1504,泰州兴源电力设备安装工程有限公司,,,,,,,,,,,,,,######,######
