行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
池州市本级,郭港公租房,江南产业集中区,6.7586,公共租赁住房用地,划拨,,其他服务业,,安徽省江南产业集中区建设投资发展（集团）有限公司,1.001.60,2018年10月9日,,
贵池区,绿化用地项目,涓桥镇紫岩村,0.3147,公园与绿地,划拨,,公共管理和社会组织,,池州市贵池区涓桥镇人民政府,,2018年10月9日,,
贵池区,绿化用地项目,里山街道新华村,0.9523,公园与绿地,划拨,,公共管理和社会组织,,池州市贵池区人民政府里山街道办事处,,2018年10月9日,,
贵池区,茅坦小学新建教学楼项目,墩上街道办事处茅坦村,0.0171,科教用地,划拨,,教育业,,池州市贵池区墩上中心学校,1.001.00,2018年9月26日,2020年4月1日,2021年4月1日
贵池区,梅街镇绿化用地项目,梅街镇桃坡村,0.3553,公园与绿地,划拨,,中国共产党机关,,池州市贵池区梅街镇人民政府,,2018年9月26日,,
贵池区,秋江街道同心村为民服务中心项目,秋江街道办事处同心村,0.0316,公共设施用地,划拨,,中国共产党机关,,池州市贵池区秋江街道办事处,,2018年9月26日,,
贵池区,梅村长山工业园路网项目,梅村镇长山工业园,0.1093,公路用地,划拨,,中国共产党机关,,池州市贵池区梅村镇人民政府,,2018年9月26日,,
贵池区,棠溪镇百安美好乡村道路项目,棠溪镇百安村,0.0604,公路用地,划拨,,中国共产党机关,,池州市贵池区棠溪镇人民政府,,2018年9月26日,,
贵池区,梅街镇绿化用地项目,梅街镇刘街社区,0.0279,公园与绿地,划拨,,中国共产党机关,,池州市贵池区梅街镇人民政府,,2018年9月26日,,
贵池区,梅街镇绿化用地项目,梅街镇潘桥社区,0.09831,公园与绿地,划拨,,中国共产党机关,,池州市贵池区梅街镇人民政府,,2018年9月26日,,
池州市本级,游乐场,人民路,5.4008,文体娱乐用地,划拨,,其他服务业,,池州城市经营投资有限公司,0.1,2018年9月14日,,
池州市本级,石城路扩建工程,石城路,6.507,街巷用地,划拨,,其他服务业,,池州市住房和城乡建设委员会,,2018年9月14日,,
池州市本级,清溪河公园南湖绿化区,升金湖路,1.1301,公园与绿地,划拨,,其他服务业,,池州市住房和城乡建设委员会,,2018年9月14日,,
池州市本级,福康路西侧绿化,杏花村风景区,3.4441,公园与绿地,划拨,,其他服务业,,池州市杏花村文化旅游区管理委员会,,2018年9月14日,,
池州市本级,湿地公园,百牙东路,14.6702,公园与绿地,划拨,,其他服务业,,池州市住房和城乡建设委员会,,2018年9月14日,,
