行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
泗县,草庙镇草庙村G343南加油站,草庙镇草庙村,0.6361,零售商业用地,挂牌出让,40,燃气生产和供应业,1440,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,黑塔镇黑塔村加油站,黑塔镇黑塔村,0.2028,零售商业用地,挂牌出让,40,燃气生产和供应业,360,泗县鼎盛交通文化旅游投资有限公司,0.6,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,黑塔镇大魏村加油站,黑塔镇大魏村,0.1178,零售商业用地,挂牌出让,40,燃气生产和供应业,177,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,大杨乡高集村加油站,大杨乡高集村,0.1396,零售商业用地,挂牌出让,40,燃气生产和供应业,215,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
砀山县,砀山县镇（园区）建成区污水治理项目（赵屯镇污水处理厂）,赵屯镇蒋庄村,0.2558,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.2,2020年4月21日,2020年8月17日,2021年8月17日,,
泗县,大杨乡吴集村加油站,大杨乡吴集村,0.2049,零售商业用地,挂牌出让,40,燃气生产和供应业,369,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,大庄镇万安村加油站,大庄镇万安村,0.1981,零售商业用地,挂牌出让,40,燃气生产和供应业,357,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
砀山县,砀山县镇（园区）建成区污水治理项目（薛楼板材园区污水处理厂）,薛楼板材加工园区神湖社区,0.2737,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.19,2020年4月21日,2020年8月17日,2021年8月17日,,
砀山县,砀山县镇（园区）建成区污水治理项目（玄庙镇污水处理厂）,玄庙镇大寨村与砀山果园场交界区域,0.9008,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.12,2020年4月21日,2020年8月17日,2021年8月17日,,
泗县,石新江加油站,泗县草沟镇街西村,0.1395,零售商业用地,挂牌出让,40,燃气生产和供应业,251,石新江,0.000.60,2020年4月20日,2020年8月10日,2021年8月10日,,
宿州市本级,宿州市农科院综合实验基地项目,宿州市埇桥区朱仙庄镇二徐路东侧、纬九路以南,1.5306,科研用地,划拨,,研究与试验发展,,宿州市农业科学院,0.601.60,2020年4月20日,2020年9月19日,2021年9月18日,,
砀山县,砀山县民族中学迁址新建项目二期,高铁新区南苑社区、新城社区，良梨路南侧,6.5628,教育用地,划拨,,教育业,,砀山县高铁新区管理委员会,1,2020年4月17日,2021年4月4日,2022年4月5日,,
泗县,泗州绿苑,泗县经济开发区东发社区,4.200745,城镇住宅用地,拍卖出让,70,房地产业,10712,泗县宝诚建设投资有限公司,1.002.20,2020年4月17日,2020年9月10日,2023年9月10日,,
灵璧县,向阳农民集中居住区,向阳乡大西村,2.8722,城镇住宅用地,拍卖出让,70,房地产业,2154.15,灵璧县石都房地产开发有限公司,1.001.60,2020年4月16日,2021年4月17日,2023年4月16日,,
灵璧县,向阳农民集中居住区,向阳乡大西村,6.4925,城镇住宅用地,拍卖出让,70,房地产业,4869.375,灵璧县石都房地产开发有限公司,1.001.60,2020年4月16日,2021年4月17日,2023年4月16日,,
埇桥区,安徽鑫瑞特电机装备有限公司,埇桥经济开发区：桃山村用地以南、以北、以东，滨河路以西。,2.2882,工业用地,挂牌出让,50,通用设备制造业,360.3915,安徽鑫瑞特电机装备有限公司,1,2020年4月12日,2020年10月20日,2021年10月19日,,
