行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
慈溪市,甬新G-215#地块,宁波杭州湾新区,6.6795,餐饮用地,拍卖出让,40,其他金融服务,8215,吉利汽车集团有限公司,1.001.10,2020年6月19日,2021年6月19日,2025年6月19日,,,,
镇海区,镇海区ZH10-01-20-01、03地块,宁波市镇海区澥浦镇，汇源路东侧、兴业路北侧,2.9634,工业用地,挂牌出让,50,通用设备制造业,6614,宁波中南高科锦程产业园管理有限公司,1.501.80,2020年6月18日,2021年7月2日,2022年7月2日,,,,
余姚市,五庙江北侧、肖朗公路东侧地块,马渚镇马漕头村,7.8512,城镇住宅用地,挂牌出让,70,房地产业,41971,深圳力高鸿业信息咨询有限公司（项目公司名称：余姚力铂置业有限公司）,1.002.20,2020年6月17日,2021年8月25日,2023年8月25日,,,,
慈溪市,杭州湾地区环线并行线G92N（杭甬高速复线）宁波段一期工程项目,观海卫镇、周巷镇、附海镇、掌起镇,197.3665,公路用地,划拨,,道路运输业,34793.6813,宁波高等级公路建设指挥部,,2020年6月17日,2021年6月17日,2024年6月17日,,,,
奉化市,西坞街道城镇低效用地再开发二百十号地块,西坞街道山下地村,0.1146,工业用地,协议出让,50,农副食品加工业,54.435,宁波市奉化方润农业科技发展有限公司,1.001.05,2020年6月17日,2021年7月17日,2023年7月17日,,,,
宁波市本级,东部新城核心区H2-1-2#3#地块绿地道路工程,宁波市鄞州区福明街道，西起启新路，东至河清北路,0.7653,城镇村道路用地,划拨,,道路运输业,,宁波东部新城开发投资集团有限公司,,2020年6月17日,2021年6月17日,2023年6月17日,,,,
宁海县,西店18-49地块项目,西店镇香石村,0.3333,工业用地,挂牌出让,50,塑料制品业,127,宁波以路电子科技有限公司,1.202.00,2020年6月17日,2020年11月18日,2022年5月18日,,,,
奉化市,裘村镇城镇低效用地再开发三十六号地块,该地块位于裘村镇杨村，地块东、南、西、北至用地范围线。,1.2375,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,466,宁波新益佳磁业科技有限公司,1.101.15,2020年6月16日,2021年6月26日,2023年6月26日,,,,
奉化市,尚田街道城镇低效用地再开发二百零六号地块,该地块位于尚田街道印家坑村，地块北至现状道路，东、南、西至用地范围线。,0.1097,工业用地,挂牌出让,50,通用设备制造业,45,宁波奉化康健机电轴五金厂,1.001.05,2020年6月16日,2021年6月26日,2023年6月26日,,,,
奉化市,溪口镇城镇低效用地再开发二十九号-2地块,该地块位于溪口镇公棠工业区，东至厂房、南至厂房、西至厂房、北至道路。,0.1293,工业用地,挂牌出让,50,专用设备制造业,53,奉化意格特机械制造有限公司,1.002.00,2020年6月16日,2021年6月26日,2023年6月26日,,,,
奉化市,锦屏街道城镇低效用地再开发六号地块,该地块位于锦屏街道三溪村，地块北至现状奉南路，东、西、南至用地范围线。,0.056,工业用地,挂牌出让,50,工艺品及其他制造业,30,宁波创辉智能科技有限公司,1.201.25,2020年6月16日,2021年6月26日,2023年6月26日,,,,
奉化市,西坞街道城镇低效用地再开发二百零五号地块,该地块位于西坞街道泰桥村，地块东、南、北至用地范围线，西至现状道路。,0.0707,工业用地,挂牌出让,50,工艺品及其他制造业,33,宁波市奉化区慧宁工具有限公司,1.201.25,2020年6月16日,2021年6月26日,2023年6月26日,,,,
慈溪市,慈宗汉II201738#,宗汉街道史家村,0.1481,工业用地,协议出让,50,塑料制品业,99.9675,慈溪市浒山新港模具塑料厂,0.902.00,2020年6月16日,2021年6月16日,2024年6月16日,,,,
